i dont have anything with that criteria can we try a different area ||| i dont have anything with that criteria can we try a different area
there are not any expensive guesthouses in cambridge would a moderately priced guesthouse suffice ||| ma jkun hemm l ebda spiża biżżejjed biex il kamra tkun ipprezzata b'mod moderat .
we do not have any hotels that match your search do you want to try something else ||| aħna m'għandniex xi ħaġa li taqbel mat tfittxija tiegħek tixtieq tipprova xi ħaġa oħra
sorry there are no guesthouse in centre within the moderate price range can i help you with anything else ||| għalkemm ma teżisti l ebda medda ta' prezzijiet fil bini , tista' tgħinlek b'kull ħaġa
unfortunately nothing meets that criteria ||| sfortunatament xejn ma jissodisfa dak il kriterju
im sorry but there are no 5 star hotels anywhere in cambridge would you like to broaden your criteria ||| iżda ma għandekx 5 x'tixtieq twessa' l kriterji tiegħek .
there are no expensive guesthouses in the north with free wifi ||| ma hemm l ebda spiża bi ħlas
no im sorry but as i said there are no guesthouse listings what else may i look for for you ||| l ebda ħaġa ħażina iżda , kif intqal , m'hemm l ebda elenkar ta' mħażen x'jista' jagħmel għalik
there is none that is cheap would you like to change your criteria ||| ma hemm xejn li jista' jbiddel il kriterji tiegħek .
i was unable to find any 2 star rated guesthouses do you have another preference ||| i was unable to find any 2 do you have another preference
unfortunately there are no hotels that match your criteria do want to consider other areas of town or a different price range ||| sfortunatament m'hemm l ebda skoperta li taqbel mal kriterji tiegħek li jridu jikkunsidraw żoni oħra ta' bliet jew firxa ta' prezzijiet differenti
there are no guesthouses with free parking ||| ma hemm l ebda mħażen għall ipparkjar ħieles
unfortunately there are no hotels available with your preferences would you like me to find you one in a different price range or area ||| b'xorti ħażina ma hemm l ebda kworum disponibbli bil preferenzi tiegħek li tixtieq li ssib waħda f'firxa ta' prezzijiet jew f'qasam differenti .
unfortunately i dont happen to have any guesthouses that are in the expensive range can i look in another price range perhaps ||| b'xorti ħażina tista' tħares lejn firxa oħra ta' prezzijiet forsi
there are no 4 star lodgings available in cambridge that meet your criteria shall we check 5star locations instead ||| ma hemm l ebda 4 li jissodisfaw il kriterji tiegħek għandhom niċċekkjaw 5star post minflok
unfortunately i couldnt find anything with 5 stars ||| b'xorti ħażina ssib kwalunkwe ħaġa b'5 stilel
unfortunately i dont show any cheap hotels that have a 3 star rating can i look in a different price range or star rating for you ||| sfortunatament i dont juru kwalunkwe klassifikazzjoni ta' stilla baxxa jistgħu jħarsu lejn firxa ta' prezzijiet jew klassifikazzjoni ta' stilla differenti għalik
im sorry there isnt anything that matches those requirements can i look for something else ||| ikun hemm xi ħaġa imminenti li taqbel ma' dawk ir rekwiżiti tista' tħares lejn xi ħaġa oħra
unfortunately i dont see anything that fits your needs would you like me to try another area ||| b'xorti ħażina nara kull ħaġa li tissodisfa l ħtiġijiet tiegħek tixtieq li tipprova żona oħra .
im sorry i dont see any 4 or 5 star hotels with availability in the centre would you like to look for a 3 star hotel or another area ||| i dont ara kwalunkwe 4 pinen tal lamtu jew żona oħra
im sorry i cant find any hotels that meet your criteria would you like to search again ||| tista' tfittex li terġa' tfittex xi ħaġa li tissodisfa l kriterji tiegħek .
im afraid we dont have any guesthouses in that price range can i offer you something else instead ||| żgur li għandna l ebda kamra f'dik il medda ta' prezzijiet li tista' toffrilkom xi ħaġa minflok
unfortunately none of the cheap hotels have free wifi would you prefer to try a different price range or go with a hotel without free wifi ||| sfortunatament l ebda wieħed mill każinò rħis ma jippreferi jipprova jkollu firxa ta' prezzijiet differenti jew imur b'vawċer mingħajr ħelsien .
there are no 4 star hotels in the east side of town would you be interested in staying at a guesthouse instead ||| m'hemmx 4 minflok
there are no results is there another area we can search or a different price range ||| there are no results is there another area we can search or a different price range
i dont have a guesthouse type of hotel but i could suggest the huntingdon marriott hotel ||| l I dont għandhom kamra
im sorry i am not finding any hotels in the expensive price range in the north would you like to change your search ||| jien ma nsibx xi ħaġa li tixtieq tibdel it tfittxija tiegħek
sorry there are no 4 star hotel fitting that description anything else ||| ma hemm l ebda twaħħil ta din id deskrizzjoni xi ħaġa oħra
our records dont show that hotel sorry ||| ir rekords tagħna juru li l kuntentizza
i do not have any expensive guesthouses in the east offering free wifi ||| ma għandhom l ebda spiża li toffri ħlas ħieles
there are no 3 star lodgings available in cambridge shall we check 4star locations instead ||| there are no 3 shall we check 4star locations instead
no i am afraid there ae no expensive guesthouses in the south ||| l ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel L Ewwel
yes i am sure there is no ian hong house restaurant in our system ||| iva , żgur li ma jkun hemm l ebda ħaġa oħra fis sistema tagħna
im sorry i dont have anything in that category can we check something else ||| l I dont għandhom kwalunkwe ħaġa f'dik il kategorija jistgħu niċċekkjaw xi ħaġa
